MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Match Key,Model URL
TOYOTA,CAMIONETA,HILUX SRV,2.8,4X4,AT,2024,hilux srv,toyota,toyota hilux srv,https://www.autocosmos.cl/catalogo/vigente/toyota/hilux
ZNA,CAMIONETA,R6,,,AT,2024,r6,zna,zna r6,
BAIC,SEDÁN,EU5 EV,,,,2024,eu5 ev,baic,baic eu5 ev,
BYD,SEDÁN,HAN EV,,,,2024,han ev,byd,byd han ev,https://www.autocosmos.cl/catalogo/vigente/byd/han-ev
BYD,SEDÁN,QIN PLUS DM,,,,2024,qin dm,byd,byd qin dm,https://www.autocosmos.cl/catalogo/vigente/byd/qin
BYD,SEDÁN,SEAL EV,,,,2024,seal ev,byd,byd seal ev,https://www.autocosmos.cl/catalogo/vigente/byd/seal
CHANGAN,SEDÁN,ALSVIN COMFORT,,,,2024,alsvin,changan,changan alsvin,https://www.autocosmos.cl/catalogo/vigente/changan/alsvin
CHANGAN,SEDÁN,ALSVIN ELITE,,,AT,2024,alsvin,changan,changan alsvin,https://www.autocosmos.cl/catalogo/vigente/changan/alsvin
CHANGAN,SEDÁN,ALSVIN LUXURY,,,,2024,alsvin,changan,changan alsvin,https://www.autocosmos.cl/catalogo/vigente/changan/alsvin
CHEVROLET,SEDÁN,ONIX LT R,1.0,,,2024,onix lt r,chevrolet,chevrolet onix lt r,https://www.autocosmos.cl/catalogo/vigente/chevrolet/onix-rs
CHEVROLET,SEDÁN,ONIX LTZ P2,1.0,,,2024,onix ltz p2,chevrolet,chevrolet onix ltz p2,https://www.autocosmos.cl/catalogo/vigente/chevrolet/onix-sedan
CHEVROLET,SEDÁN,ONIX PREMIER R,1.0,,,2024,onix premier r,chevrolet,chevrolet onix premier r,
CHEVROLET,SEDÁN,ONIX LS P,1.2,,,2024,onix ls p,chevrolet,chevrolet onix ls p,https://www.autocosmos.cl/catalogo/vigente/chevrolet/onix-sedan
CHEVROLET,SEDÁN,SAIL NB LT,1.5L,,,2024,sail nb lt,chevrolet,chevrolet sail nb lt,https://www.autocosmos.cl/catalogo/vigente/chevrolet/sail-hb
CHEVROLET,SEDÁN,SAIL NB LTZ,1.5L,,,2024,sail nb ltz,chevrolet,chevrolet sail nb ltz,https://www.autocosmos.cl/catalogo/vigente/chevrolet/sail-hb
CHEVROLET,SEDÁN,SAIL NB LTZ,1.5L,,CVT,2024,sail nb ltz,chevrolet,chevrolet sail nb ltz,https://www.autocosmos.cl/catalogo/vigente/chevrolet/sail-hb
CITROEN,SEDÁN,HDI 100 BVM6 C-ELYSEE FEEL PACK,1.5,,,2024,hdi 100 bvm6 celysee feel pack,citroen,citroen hdi 100 bvm6 celysee feel pack,
CITROEN,SEDÁN,C4 BLUEHDI 130 S&S FEEL PACK,1.5,,EAT8,2024,c4 bluehdi 130 ss feel pack,citroen,citroen c4 bluehdi 130 ss feel pack,
CITROEN,SEDÁN,C4 BLUEHDI 130 S&S SHINE,1.5,,EAT8,2024,c4 bluehdi 130 ss shine,citroen,citroen c4 bluehdi 130 ss shine,
HYUNDAI,SEDÁN,ACCENT BN7I DESIGN,1.5,,,2024,accent bn7i design,hyundai,hyundai accent bn7i design,
HYUNDAI,SEDÁN,ACCENT BN7I PLUS,1.5,,,2024,accent bn7i,hyundai,hyundai accent bn7i,
HYUNDAI,SEDÁN,GRAND I10 AI3 DESIGN FL,1.2,,,2024,grand i10 ai3 design fl,hyundai,hyundai grand i10 ai3 design fl,
HYUNDAI,SEDÁN,GRAND I10 AI3 PLUS FL,1.2,,,2024,grand i10 ai3 fl,hyundai,hyundai grand i10 ai3 fl,https://www.autocosmos.cl/catalogo/vigente/hyundai/grand-i10-sedan
KIA,SEDÁN,EV6 EV GT-LINE 77.4KWH,,AWD,,2024,ev6 ev gtline 774kwh,kia,kia ev6 ev gtline 774kwh,
KIA,SEDÁN,SOLUTO EX G SRF FULL,1.4L,,5MT,2024,soluto ex g srf,kia,kia soluto ex g srf,
