Modelo,ID,our_id
chevrolet captiva 1.5l ltz p mt 2024,"[2051864, 2051865, 2051866, 2051867, 2051869, 2051870, 2051871, 2051872, 2051873, 2051875, 2051876, 2051878, 2051879, 2051872, 2051879, 2051870, 2051871, 2051868, 2051869, 2051873, 2051869, 2051869]",351
chevrolet captiva 1.5l premier,"[1668769, 1668769]",352
chevrolet captiva 1.5l premier aut,[1668770],353
chevrolet captiva 1.5l premier cvt p at 2024,"[2051915, 2051916, 2051917, 2051918, 2051922, 2051923, 2051924, 2051926, 2051927, 2051929, 2051930, 2051920, 2051923, 2051920, 2051920]",354
chevrolet captiva 1.5l premier p mt 2024,"[2051881, 2051882, 2051883, 2051884, 2051886, 2051887, 2051888, 2051889, 2051890, 2051892, 2051893, 2051895, 2051896, 2051888, 2051890, 2051896, 2051887, 2051885, 2051886, 2051889, 2051886, 2051886]",355
chevrolet captiva lt 1.5t 2wd mt,"[1668771, 1668771]",356
chevrolet captiva lt 1.5t 2wd mt l,[1668772],357
chevrolet captiva lt 1.5t cvt,[1668773],358
chevrolet captiva premier 1.5t 2wd mt,"[1668774, 1668774]",359
chevrolet captiva premier 1.5t 2wd mt l,"[1668775, 1668775]",360
chevrolet captiva premier 1.5t cvt,[1668776],361
chevrolet cargo chevrolet frr 1119 e5 carga general 2020,"[1671997, 1671997]",362
chevrolet cargo chevrolet frr 1119 e5 pickup 2020,"[1671998, 1671998]",363
chevrolet cargo chevrolet ftr 1524 e5 aljibe 4x2 acero carbono 8000 lts 2020,"[1671999, 1671999]",364
chevrolet cargo chevrolet ftr 1524 e5 aljibe 4x2 acero inoxidable 8000 lts 2020,"[1672000, 1672000]",365
chevrolet cargo chevrolet ftr 1524 e5 carga general 2020,"[1672001, 1672001]",366
chevrolet cargo chevrolet ftr 1524 e5 cisterna combustible 8000 lts 2020,[1672003],367
chevrolet cargo chevrolet ftr 1524 e5 pickup 2020,"[1672005, 1672005]",368
chevrolet cargo chevrolet ftr 1524 e5 plataforma hidrulica 2020,[1672006],369
chevrolet cargo chevrolet ftr 1524 e5 recolector 4x2 10 m3 2020,"[1672007, 1672007]",370
chevrolet cargo chevrolet ftr 1524 e5 refrigerado 2020,"[1672004, 1672004]",371
chevrolet cargo chevrolet fvr 1724 e5 aljibe 4x2 acero carbono 10000 lts 2020,"[1672008, 1672008]",372
chevrolet cargo chevrolet fvr 1724 e5 aljibe 4x2 acero inoxidable 10000 lts 2020,"[1672009, 1672009]",373
chevrolet cargo chevrolet fvr 1724 e5 carga general 2020,"[1672010, 1672010]",374
chevrolet cargo chevrolet fvr 1724 e5 cisterna combustible 10000 lts 2020,[1672012],375
chevrolet cargo chevrolet fvr 1724 e5 pickup 2020,"[1672013, 1672013]",376
