marca,tipo producto,Model Name,Engine,Drive,Transmission,Year
chevrolet,sedan,onix premier r,1.0,,,2024
chevrolet,sedan,onix ls p,1.2,,,2024
chevrolet,sedan,onix ii ls nb,1.2,,MT,
chevrolet,sedan,onix ii lt 1.0t nb,,,MT,
chevrolet,sedan,onix ii pr 1.0t nb,,,AT,
chevrolet,sedan,onix ll ls nb,1.2,,MT,
chevrolet,sedan,onix ll lt t nb,1.0,,MT,
chevrolet,sedan,onix ll pr 1.0t nb,,,AT,
chevrolet,sedan,onix sedan 1.0l lt,,,,
chevrolet,sedan,onix sedan 1.2l ls,,,,
chevrolet,sedan,sail 1.5l ls abs nb,,,,
chevrolet,sedan,sail 1.5l ls nb,,,,
chevrolet,sedan,sail 1.5l lt nb,,,,
chevrolet,sedan,sail 1.5l lt nb smart,,,,
chevrolet,sedan,sail nb ls abs l,1.5,,,
chevrolet,sedan,sail nb lt l smart,1.5,,,
chevrolet,sedan,sail nb 1.5l lt,,,,2024
chevrolet,sedan,sail nb 1.5l ltz,,,,2024
chevrolet,sedan,sail nb 1.5l ltz,,,CVT,2024
citroen,sedan,hdi 100 bvm6 c-elysee feel pack,1.5,,,2024
citroen,sedan,c4 bluehdi 130 s&s feel pack,1.5,,EAT8,2024
citroen,sedan,c4 bluehdi 130 s&s shine,1.5,,EAT8,2024
citroen,sedan,new c-elysee 1.2l puretech 82 bvm feel,,,,
citroen,sedan,new c-elysee 1.6l hdi 92 bvm feel,,,,
citroen,sedan,new c-elysee 1.6l hdi 92 bvm shine,,,,
fiat,sedan,argo drive,1.3,,,
fiat,sedan,argo trekking,1.3,,,
honda,sedan,city ex,1.5,,AT,
honda,sedan,city ex,1.5,,MT,
honda,sedan,city lx,1.5,,AT,
honda,sedan,city lx,1.5,,MT,
honda,sedan,civic sedan ex,2.0,,CVT,
honda,sedan,civic sedan exl t,1.5,,,
hyundai,sedan,accent bn7i design,1.5,,,2024
hyundai,sedan,accent bn7i plus,1.5,,,2024
hyundai,sedan,grand i10 ai3 design fl,1.2,,,2024
hyundai,sedan,grand i10 ai3 plus fl,1.2,,,2024
hyundai,sedan,verna 1.4l plus,,,,
kia,sedan,ev6 ev gt-line 77.4kwh,,AWD,,2024
kia,sedan,soluto ex 1.4l g srf full,,,5MT,2024
kia,sedan,soluto lx 1.4l g ll,,,5MT,2024
mazda,sedan,2 1.5l s ipm,,,,
mazda,sedan,2 1.5l v aut ipm,,,,
mazda,sedan,2 1.5l v ipm,,,,
mazda,sedan,3 2.0l s,,,,
mazda,sedan,3 2.0l v,,,,
mazda,sedan,3 2.0l v aut,,,,
mazda,sedan,3 2.5l gtx aut,,,,
mazda,sedan,6 2.0l v,,,,
mazda,sedan,6 2.5l gtx turbo aut,,,,
mazda,sedan,6 sdn v cuero,2.5,,6AT,
mg,sedan,3 com,,,AT,2024
mg,sedan,5 1.5l com,,,CVT,2024
mg,sedan,5 1.5l dlx,,,CVT,2024
mg,sedan,5 1.5l com,,,MT,2024
mg,sedan,5 1.5l dlx,,,MT,2024
mg,sedan,6 1.5t com,,,MT,2024
mg,sedan,6 1.5t dlx,,,MT,2024
mg,sedan,gt 1.5l com,,2WD,CVT,2024
mg,sedan,gt 1.5l com,,2WD,MT,2024
mg,sedan,gt 1.5t dlx,,,DCT,2024
nissan,sedan,leaf,,,,
nissan,sedan,leaf,,,,2024
nissan,sedan,new sentra 2.0l advance,,,,
nissan,sedan,new sentra 2.0l advance aut,,,,
nissan,sedan,new sentra 2.0l advance,,,CVT,
nissan,sedan,new sentra 2.0l advance,,,MT,
nissan,sedan,new sentra 2.0l exclusive aut,,,,
nissan,sedan,new sentra 2.0l exclusive,,,CVT,
nissan,sedan,new sentra 2.0l sense,,,,
nissan,sedan,new sentra 2.0l sense,,,MT,
nissan,sedan,new versa 1.6l advance aut,,,,
nissan,sedan,new versa 1.6l advance,,,CVT,
nissan,sedan,new versa 1.6l advance,,,MT,
nissan,sedan,new versa 1.6l exclusive aut,,,,
